gene,hgnc_id,in_universe
ACP5,HGNC:124,1
ACTB,HGNC:132,0
ADA,HGNC:186,1
ADAR,HGNC:225,1
AICDA,HGNC:13203,1
AIRE,HGNC:360,1
AK2,HGNC:362,1
AP3B1,HGNC:566,1
APOL1,HGNC:618,1
ATM,HGNC:795,1
BLM,HGNC:1058,1
BLNK,HGNC:14211,1
BTK,HGNC:1133,1
C1QA,HGNC:1241,1
C1QB,HGNC:1242,0
C1QC,HGNC:1245,1
C1R,HGNC:1246,0
C1S,HGNC:1247,1
C2,HGNC:1248,1
C3,HGNC:1318,1
C4A,HGNC:1323,1
C4B,HGNC:1324,1
C5,HGNC:1331,1
C6,HGNC:1339,1
C7,HGNC:1346,1
C8A,HGNC:1352,1
C8B,HGNC:1353,1
C8G,HGNC:1354,0
C9,HGNC:1358,1
CARD11,HGNC:16393,1
CARD14,HGNC:16446,1
CARD9,HGNC:16391,1
CASP10,HGNC:1500,1
CASP8,HGNC:1509,1
CD19,HGNC:1633,1
CD247,HGNC:1677,1
CD27,HGNC:11922,1
CD3D,HGNC:1673,1
CD3E,HGNC:1674,1
CD3G,HGNC:1675,1
CD40,HGNC:11919,1
CD40LG,HGNC:11935,1
CD46,HGNC:6953,1
CD59,HGNC:1689,1
CD79A,HGNC:1698,1
CD79B,HGNC:1699,1
CD81,HGNC:1701,1
CD8A,HGNC:1706,1
CEBPE,HGNC:1836,1
CFB,HGNC:1037,1
CFD,HGNC:2771,1
CFH,HGNC:4883,1
CFHR1,HGNC:4888,1
CFHR2,HGNC:4890,1
CFHR3,HGNC:16980,1
CFHR4,HGNC:16979,1
CFHR5,HGNC:24668,1
CFI,HGNC:5394,1
CFP,HGNC:8864,1
CHD7,HGNC:20626,1
CIITA,HGNC:7067,1
COLEC11,HGNC:17213,1
CORO1A,HGNC:2252,1
CR2,HGNC:2336,1
CSF2RA,HGNC:2435,0
CTSC,HGNC:2528,1
CXCR4,HGNC:2561,1
CYBA,HGNC:2577,1
CYBB,HGNC:2578,1
DCLRE1C,HGNC:17642,1
DKC1,HGNC:2890,1
DNMT3B,HGNC:2979,1
DOCK8,HGNC:19191,1
ELANE,HGNC:3309,1
FADD,HGNC:3573,1
FAS,HGNC:11920,1
FASLG,HGNC:11936,1
FCN3,HGNC:3625,1
FERMT3,HGNC:23151,1
FOXN1,HGNC:12765,1
FOXP3,HGNC:6106,1
FPR1,HGNC:3826,1
G6PC3,HGNC:24861,1
GATA2,HGNC:4171,1
GFI1,HGNC:4237,1
HAX1,HGNC:16915,1
ICOS,HGNC:5351,1
IFNGR1,HGNC:5439,1
IFNGR2,HGNC:5440,1
IGHM,HGNC:5541,0
IGKC,HGNC:5716,0
IGLL1,HGNC:5870,1
IKBKB,HGNC:5960,1
IKBKG,HGNC:5961,1
IKZF1,HGNC:13176,1
IL10,HGNC:5962,1
IL10RA,HGNC:5964,1
IL10RB,HGNC:5965,1
IL12B,HGNC:5970,1
IL12RB1,HGNC:5971,1
IL17F,HGNC:16404,1
IL17RA,HGNC:5985,1
IL1RN,HGNC:6000,1
IL21R,HGNC:6006,1
IL2RA,HGNC:6008,1
IL2RG,HGNC:6010,1
IL36RN,HGNC:15561,1
IL7R,HGNC:6024,1
IRAK4,HGNC:17967,0
IRF8,HGNC:5358,1
ISG15,HGNC:4053,0
ITCH,HGNC:13890,0
ITGB2,HGNC:6155,1
ITK,HGNC:6171,1
JAK3,HGNC:6193,1
LAMTOR2,HGNC:29796,1
LCK,HGNC:6524,1
LIG4,HGNC:6601,1
