gene,hgnc_id,in_universe,screen_outcome,era_hit
AADACL4,HGNC:32038,1,kept,
ABCF2-H2BK1,HGNC:54751,1,kept,
ABHD14A-ACY1,HGNC:38856,1,kept,
ABTB3,HGNC:23844,1,kept,
ACSM2B,HGNC:30931,1,kept,
AGAP5,HGNC:23467,1,kept,
AGAP9,HGNC:23463,1,kept,
AK6,HGNC:49151,1,kept,
ALG1L2,HGNC:37258,1,kept,
ANKRD20A1,HGNC:23665,1,kept,
ANKRD66,HGNC:44669,1,kept,
AQP7B,HGNC:53895,1,kept,
ARGFX,HGNC:30146,1,kept,
ARHGEF35,HGNC:33846,1,kept,
ARL14EPL,HGNC:44201,1,kept,
ARMH2,HGNC:49394,1,kept,
ARMS2,HGNC:32685,1,kept,
ARPIN-AP3S2,HGNC:38824,1,kept,
ARSH,HGNC:32488,1,kept,
ASCL5,HGNC:33169,1,kept,
ATOSA,HGNC:25609,1,kept,
ATOSB,HGNC:25666,1,kept,
ATP5MGL,HGNC:13213,1,kept,
B4GAT1,HGNC:15685,1,kept,
BLTP1,HGNC:26953,1,kept,
BLTP2,HGNC:28960,1,kept,
BLTP3A,HGNC:21216,1,kept,
BLTP3B,HGNC:29102,1,kept,
BMAL1,HGNC:701,1,kept,
BMAL2,HGNC:18984,1,kept,
BOLA2-SMG1P6,HGNC:53563,1,kept,
BSPH1,HGNC:33906,1,kept,
C10orf105,HGNC:20304,1,kept,
C11orf98,HGNC:51238,1,kept,
C18orf63,HGNC:40037,1,kept,
C1QTNF5,HGNC:14344,1,kept,
C1QTNF9B,HGNC:34072,1,kept,
C1orf146,HGNC:24032,1,kept,
C21orf140,HGNC:39602,1,kept,
C2CD4D,HGNC:37210,1,kept,
C2orf78,HGNC:34349,1,kept,
C8orf44-SGK3,HGNC:48354,1,kept,
C9orf153,HGNC:31456,1,kept,
CATIP,HGNC:25062,1,kept,
CBLL2,HGNC:26371,1,kept,
CCDC169-SOHLH2,HGNC:38866,1,kept,
CCDC179,HGNC:44653,1,kept,
CCDC182,HGNC:49392,1,kept,
CCDC74B,HGNC:25267,1,kept,
CCER2,HGNC:44662,1,kept,
CCL14,HGNC:10612,1,kept,
CCL4L2,HGNC:24066,1,kept,
CCNI2,HGNC:33869,1,kept,
CENPS-CORT,HGNC:38843,1,kept,
CFAP107,HGNC:28567,1,kept,
CFAP119,HGNC:28078,1,kept,
CFAP141,HGNC:32305,1,kept,
CFAP210,HGNC:25064,1,kept,
CFAP276,HGNC:32331,1,kept,
CFAP298-TCP10L,HGNC:54636,1,kept,
CFAP77,HGNC:33776,1,kept,
CFAP95,HGNC:31422,1,kept,
CGB1,HGNC:16721,1,kept,
CGB2,HGNC:16722,1,kept,
CGB3,HGNC:1886,1,kept,
CGB5,HGNC:16452,1,kept,
CGB7,HGNC:16451,1,kept,
CGB8,HGNC:16453,1,kept,
CHCT1,HGNC:26990,1,kept,
CHRFAM7A,HGNC:15781,1,kept,
CHURC1-FNTB,HGNC:42960,1,kept,
CKLF-CMTM1,HGNC:39977,1,kept,
CKMT1A,HGNC:31736,1,kept,
CLDN24,HGNC:37200,1,kept,
CLDN34,HGNC:51259,1,kept,
CLEC18B,HGNC:33849,1,kept,
CLEC18C,HGNC:28538,1,kept,
CLEC19A,HGNC:34522,1,kept,
CLEC2A,HGNC:24191,1,kept,
CLPSL1,HGNC:21251,1,kept,
CLPSL2,HGNC:21250,1,kept,
CLXN,HGNC:25678,1,kept,
CROCC2,HGNC:51677,1,kept,
CSAG1,HGNC:24294,1,kept,
CSTPP1,HGNC:28720,1,kept,
CT45A1,HGNC:33267,1,kept,
CT45A10,HGNC:51263,1,kept,
CT45A2,HGNC:28400,1,kept,
CT45A3,HGNC:33268,1,kept,
CT45A6,HGNC:33271,1,kept,
CT45A7,HGNC:51260,1,kept,
CT45A8,HGNC:51261,1,kept,
CT45A9,HGNC:51262,1,kept,
CT47A3,HGNC:33284,1,kept,
CT47A4,HGNC:33285,1,kept,
CT47A5,HGNC:33286,1,kept,
CT47A6,HGNC:33287,1,kept,
CT47A7,HGNC:33288,1,kept,
CT47A8,HGNC:33289,1,kept,
CT47A9,HGNC:33290,1,kept,
CT47B1,HGNC:33293,1,kept,
CTAG1A,HGNC:24198,1,kept,
CTAGE8,HGNC:37294,1,kept,
CXorf49,HGNC:30891,1,kept,
CXorf66,HGNC:33743,1,kept,
CYP3A7-CYP3A51P,HGNC:51504,1,kept,
DCAF8L1,HGNC:31810,1,kept,
DDTL,HGNC:33446,1,kept,
DEFB103B,HGNC:31702,1,kept,
DEFB104A,HGNC:18115,1,kept,
DEFB104B,HGNC:26165,1,kept,
DEFB105B,HGNC:29930,1,kept,
DEFB106A,HGNC:18088,1,kept,
DEFB107A,HGNC:18086,1,kept,
DEFB107B,HGNC:31918,1,kept,
DEFB108B,HGNC:29966,1,kept,
DEFB113,HGNC:18094,1,kept,
DEFB115,HGNC:18096,1,kept,
DEFB128,HGNC:18106,1,kept,
DEFB130B,HGNC:39814,1,kept,
DEFB131A,HGNC:18108,1,kept,
DEFB131B,HGNC:38058,1,kept,
DEFB134,HGNC:32399,1,kept,
DEFB136,HGNC:34433,1,kept,
DEFB4B,HGNC:30193,1,kept,
DMRTC1,HGNC:13910,1,kept,
DPRX,HGNC:32166,1,kept,
DUXA,HGNC:32179,1,kept,
EBLN1,HGNC:39430,1,kept,
EEF1AKMT4-ECE2,HGNC:53615,1,kept,
EIF2S3B,HGNC:43863,1,kept,
ENTREP1,HGNC:24820,1,kept,
ENTREP2,HGNC:29075,1,kept,
ENTREP3,HGNC:1233,1,kept,
EPPIN-WFDC6,HGNC:38825,1,kept,
ERICH4,HGNC:34497,1,kept,
ERVV-2,HGNC:39051,1,kept,
FAM183A,HGNC:34347,1,kept,
FAM25G,HGNC:23590,1,kept,
FAM47E-STBD1,HGNC:44667,1,kept,
FAM90A26,HGNC:43746,1,kept,
FBXW10B,HGNC:14379,1,kept,
FKBP1C,HGNC:21376,1,kept,
FOXD4L3,HGNC:18523,1,kept,
FOXD4L6,HGNC:31986,1,kept,
FOXL2NB,HGNC:34428,1,kept,
FPGT-TNNI3K,HGNC:42952,1,kept,
FRG2,HGNC:19136,1,kept,
FRG2B,HGNC:33518,1,kept,
FXYD6-FXYD2,HGNC:39978,1,kept,
GAGE10,HGNC:30968,1,kept,
GAGE12B,HGNC:26779,1,kept,
GAGE12C,HGNC:28402,1,kept,
GAGE12D,HGNC:31904,1,kept,
GAGE12E,HGNC:31905,1,kept,
GAGE12F,HGNC:31906,1,kept,
GAGE12G,HGNC:31907,1,kept,
GAGE12H,HGNC:31908,1,kept,
GAGE12J,HGNC:17778,1,kept,
GAGE13,HGNC:29081,1,kept,
GAGE2A,HGNC:4099,1,kept,
GARIN1B,HGNC:30704,1,kept,
GARIN2,HGNC:20101,1,kept,
GARIN3,HGNC:28397,1,kept,
GARIN4,HGNC:26541,1,kept,
GARIN5A,HGNC:25107,1,kept,
GARIN5B,HGNC:25278,1,kept,
GARIN6,HGNC:28594,1,kept,
GATD3,HGNC:1273,1,kept,
GBA1,HGNC:4177,1,kept,
GDF7,HGNC:4222,1,kept,
GFY,HGNC:44663,1,kept,
GGTLC3,HGNC:33426,1,kept,
GOLGA6B,HGNC:32205,1,kept,
GOLGA6C,HGNC:32206,1,kept,
GOLGA6D,HGNC:32204,1,kept,
GOLGA6L1,HGNC:37444,1,kept,
GOLGA6L10,HGNC:37228,1,kept,
GOLGA6L22,HGNC:50289,1,kept,
GOLGA6L4,HGNC:27256,1,kept,
GOLGA6L6,HGNC:37225,1,kept,
GOLGA8G,HGNC:25328,1,kept,
GOLGA8J,HGNC:38650,1,kept,
GOLGA8K,HGNC:38652,1,kept,
GPR142,HGNC:20088,1,kept,
GPR15LG,HGNC:31428,1,kept,
GPRASP3,HGNC:29353,1,kept,
GRXCR2,HGNC:33862,1,kept,
GSTT2B,HGNC:33437,1,kept,
GUCA1ANB,HGNC:55126,1,kept,
H2AB3,HGNC:14455,1,kept,
H2AC25,HGNC:20507,1,kept,
H2BC12L,HGNC:4762,1,kept,
H2BC26,HGNC:20514,1,kept,
H3-7,HGNC:32060,1,kept,
H4C16,HGNC:20510,1,kept,
HAPSTR1,HGNC:30103,1,kept,
HDGFL2,HGNC:14680,1,kept,
HEPN1,HGNC:34400,1,kept,
HIGD2B,HGNC:26984,1,kept,
HLA-DQA2,HGNC:4943,1,kept,
HMSD,HGNC:23037,1,kept,
HNRNPCL2,HGNC:48813,1,kept,
HNRNPCL4,HGNC:51333,1,kept,
HRNR,HGNC:20846,1,kept,
HSFX1,HGNC:29603,1,kept,
HSPE1-MOB4,HGNC:49184,1,kept,
HTD2,HGNC:53111,1,kept,
HTR3D,HGNC:24004,1,kept,
HYCC1,HGNC:24587,1,kept,
HYCC2,HGNC:28593,1,kept,
IFNL3,HGNC:18365,1,kept,
IGFL4,HGNC:32931,1,kept,
IGHV3OR16-17,HGNC:55105,1,kept,
INTS15,HGNC:21702,1,kept,
IQCA1L,HGNC:22831,1,kept,
IQCJ,HGNC:32406,1,kept,
IQCJ-SCHIP1,HGNC:38842,1,kept,
ISY1-RAB43,HGNC:42969,1,kept,
ITLN2,HGNC:20599,1,kept,
IZUMO3,HGNC:31421,1,kept,
KCNJ18,HGNC:39080,1,kept,
KDM4E,HGNC:37098,1,kept,
KIAA1755,HGNC:29372,1,kept,
KLRF2,HGNC:37646,1,kept,
KRBOX5,HGNC:26987,1,kept,
KRT6C,HGNC:20406,1,kept,
KRT74,HGNC:28929,1,kept,
KRTAP10-5,HGNC:22969,1,kept,
KRTAP10-6,HGNC:20523,1,kept,
KRTAP10-7,HGNC:22970,1,kept,
KRTAP10-8,HGNC:20525,1,kept,
KRTAP12-3,HGNC:20531,1,kept,
KRTAP13-4,HGNC:18926,1,kept,
KRTAP19-2,HGNC:18937,1,kept,
KRTAP19-4,HGNC:18939,1,kept,
KRTAP19-6,HGNC:18941,1,kept,
KRTAP2-2,HGNC:18905,1,kept,
KRTAP20-3,HGNC:34001,1,kept,
KRTAP20-4,HGNC:34002,1,kept,
KRTAP21-2,HGNC:18946,1,kept,
KRTAP21-3,HGNC:34216,1,kept,
KRTAP22-2,HGNC:37091,1,kept,
KRTAP23-1,HGNC:18928,1,kept,
KRTAP25-1,HGNC:34003,1,kept,
KRTAP27-1,HGNC:33864,1,kept,
KRTAP29-1,HGNC:34211,1,kept,
KRTAP4-16,HGNC:18921,1,kept,
KRTAP5-11,HGNC:23606,1,kept,
KRTAP5-5,HGNC:23601,1,kept,
KRTAP5-7,HGNC:23602,1,kept,
KRTAP9-1,HGNC:18912,1,kept,
KRTAP9-6,HGNC:18914,1,kept,
KRTAP9-7,HGNC:18915,1,kept,
LCE2A,HGNC:29469,1,kept,
LCE2D,HGNC:16518,1,kept,
LCE3E,HGNC:29463,1,kept,
LCE4A,HGNC:16613,1,kept,
LCE5A,HGNC:16614,1,kept,
LEUTX,HGNC:31953,1,kept,
LGALS16,HGNC:40039,1,kept,
LGALS7B,HGNC:34447,1,kept,
LGALS9C,HGNC:33874,1,kept,
LHFPL7,HGNC:33725,1,kept,
LRCOL1,HGNC:44160,1,kept,
LRRC53,HGNC:25255,1,kept,
LSM8,HGNC:20471,1,kept,
LY6G6F-LY6G6D,HGNC:38821,1,kept,
LY6L,HGNC:52284,1,kept,
LY75-CD302,HGNC:38828,1,kept,
LYNX1-SLURP2,HGNC:52291,1,kept,
MAGEA2,HGNC:6800,1,kept,
MAGEA2B,HGNC:19340,1,kept,
MAGEA9B,HGNC:31909,1,kept,
MAGEB10,HGNC:25377,1,kept,
MAGED4,HGNC:23793,1,kept,
MANSC4,HGNC:40023,1,kept,
MATCAP1,HGNC:34408,1,kept,
MATCAP2,HGNC:22206,1,kept,
MBD3L3,HGNC:37205,1,kept,
MBD3L4,HGNC:37206,1,kept,
MBD3L5,HGNC:37204,1,kept,
MCCD1,HGNC:20668,1,kept,
MCIDAS,HGNC:40050,1,kept,
MEI4,HGNC:43638,1,kept,
MEIOSIN,HGNC:44318,1,kept,
MFRP,HGNC:18121,1,kept,
MKRN2OS,HGNC:40375,1,kept,
MRPL53,HGNC:16684,1,kept,
MSANTD3-TMEFF1,HGNC:38838,1,kept,
MUC12,HGNC:7510,1,kept,
MUC22,HGNC:39755,1,kept,
MYL11,HGNC:29824,1,kept,
MYZAP,HGNC:43444,1,kept,
NANOGNB,HGNC:24958,1,kept,
NBPF26,HGNC:49571,1,kept,
NEDD8-MDP1,HGNC:39551,1,kept,
NPIPA2,HGNC:41979,1,kept,
NPIPA3,HGNC:41978,1,kept,
NPIPA5,HGNC:41980,1,kept,
NPIPA8,HGNC:41983,1,kept,
NPIPA9,HGNC:41984,1,kept,
NPIPB13,HGNC:41989,1,kept,
NPIPB4,HGNC:41985,1,kept,
NPIPB5,HGNC:37233,1,kept,
NPIPB6,HGNC:37454,1,kept,
NPIPB7,HGNC:33832,1,kept,
NPIPB9,HGNC:41987,1,kept,
NUTM2A,HGNC:23438,1,kept,
NUTM2E,HGNC:23448,1,kept,
NUTM2G,HGNC:23449,1,kept,
OPN1MW2,HGNC:26952,1,kept,
OPN1MW3,HGNC:51831,1,kept,
OR10A7,HGNC:15329,1,kept,
OR10AG1,HGNC:19607,1,kept,
OR10G2,HGNC:8170,1,kept,
OR10G6,HGNC:14836,1,kept,
OR10G8,HGNC:14845,1,kept,
OR10G9,HGNC:15129,1,kept,
OR10H4,HGNC:15388,1,kept,
OR10H5,HGNC:15389,1,kept,
OR10P1,HGNC:15378,1,kept,
OR10T2,HGNC:14816,1,kept,
OR10V1,HGNC:15136,1,kept,
OR10W1,HGNC:15139,1,kept,
OR11H12,HGNC:30738,1,kept,
OR11H2,HGNC:14716,1,kept,
OR11L1,HGNC:14998,1,kept,
OR13A1,HGNC:14772,1,kept,
OR13C9,HGNC:15104,1,kept,
OR14A2,HGNC:15024,1,kept,
OR14I1,HGNC:19575,1,kept,
OR14J1,HGNC:13971,1,kept,
OR14K1,HGNC:15025,1,kept,
OR1D5,HGNC:8186,1,kept,
OR1E2,HGNC:8190,1,kept,
OR1K1,HGNC:8212,1,kept,
OR1L3,HGNC:8215,1,kept,
OR1L4,HGNC:8216,1,kept,
OR1L6,HGNC:8218,1,kept,
OR1M1,HGNC:8220,1,kept,
OR1N2,HGNC:15111,1,kept,
OR2A12,HGNC:15082,1,kept,
OR2A2,HGNC:8230,1,kept,
OR2A7,HGNC:8234,1,kept,
OR2AE1,HGNC:15087,1,kept,
OR2AJ1,HGNC:15001,1,kept,
OR2AT4,HGNC:19620,1,kept,
OR2B3,HGNC:8238,1,kept,
OR2D3,HGNC:15146,1,kept,
OR2G2,HGNC:15007,1,kept,
OR2L3,HGNC:15009,1,kept,
OR2M5,HGNC:19576,1,kept,
OR2M7,HGNC:19594,1,kept,
OR2T10,HGNC:19573,1,kept,
OR2T29,HGNC:31253,1,kept,
OR2T3,HGNC:14727,1,kept,
OR2T34,HGNC:31256,1,kept,
OR2T4,HGNC:15016,1,kept,
OR4A16,HGNC:15153,1,kept,
OR4A47,HGNC:31266,1,kept,
OR4B1,HGNC:8290,1,kept,
OR4C12,HGNC:15168,1,kept,
OR4C13,HGNC:15169,1,kept,
OR4C15,HGNC:15171,1,kept,
OR4C46,HGNC:31271,1,kept,
OR4C6,HGNC:14743,1,kept,
OR4D10,HGNC:15173,1,kept,
OR4D11,HGNC:15174,1,kept,
OR4D5,HGNC:14852,1,kept,
OR4F16,HGNC:15079,1,kept,
OR4F17,HGNC:15381,1,kept,
OR4F21,HGNC:19583,1,kept,
OR4F29,HGNC:31275,1,kept,
OR4F3,HGNC:8300,1,kept,
OR4F6,HGNC:15372,1,kept,
OR4K1,HGNC:14726,1,kept,
OR4K2,HGNC:14728,1,kept,
OR4M1,HGNC:14735,1,kept,
OR4M2,HGNC:15373,1,kept,
OR4M2B,HGNC:55109,1,kept,
OR4N2,HGNC:14742,1,kept,
OR4N4,HGNC:15375,1,kept,
OR4N4C,HGNC:55110,1,kept,
OR4S1,HGNC:14705,1,kept,
OR4X1,HGNC:14854,1,kept,
OR51A2,HGNC:14764,1,kept,
OR51Q1,HGNC:14851,1,kept,
OR51S1,HGNC:15204,1,kept,
OR52A5,HGNC:19580,1,kept,
OR52B2,HGNC:15207,1,kept,
OR52E2,HGNC:14769,1,kept,
OR52E5,HGNC:15214,1,kept,
OR52N2,HGNC:15228,1,kept,
OR52N5,HGNC:15231,1,kept,
OR52W1,HGNC:15239,1,kept,
OR56A5,HGNC:14792,1,kept,
OR5A2,HGNC:15249,1,kept,
OR5AC2,HGNC:15431,1,kept,
OR5AK2,HGNC:15251,1,kept,
OR5AN1,HGNC:15255,1,kept,
OR5AU1,HGNC:15362,1,kept,
OR5B12,HGNC:15432,1,kept,
OR5B17,HGNC:15267,1,kept,
OR5B21,HGNC:19616,1,kept,
OR5C1,HGNC:8331,1,kept,
OR5D14,HGNC:15281,1,kept,
OR5D16,HGNC:15283,1,kept,
OR5F1,HGNC:8343,1,kept,
OR5H2,HGNC:14752,1,kept,
OR5K2,HGNC:14774,1,kept,
OR5K3,HGNC:31290,1,kept,
OR5K4,HGNC:31291,1,kept,
OR5M10,HGNC:15290,1,kept,
OR5M11,HGNC:15291,1,kept,
OR5M9,HGNC:15294,1,kept,
OR5T3,HGNC:15297,1,kept,
OR5W2,HGNC:15299,1,kept,
OR6B2,HGNC:15041,1,kept,
OR6C4,HGNC:19632,1,kept,
OR6C6,HGNC:31293,1,kept,
OR6C65,HGNC:31295,1,kept,
OR6C68,HGNC:31297,1,kept,
OR6C70,HGNC:31299,1,kept,
OR6J1,HGNC:14707,1,kept,
OR6T1,HGNC:14848,1,kept,
OR6V1,HGNC:15090,1,kept,
OR7D4,HGNC:8380,1,kept,
OR7G1,HGNC:8465,1,kept,
OR7G3,HGNC:8467,1,kept,
